Key,Description,Standard,JP,IT
SAY.gameLocalization.1.,,*strange sound*,*奇妙な音*,*suono sinistro*
SAY.gameLocalization.4.Anne,,"The voices, again... oh, nooo!",また、あの声が… やめてぇええ！,"Le voci, di nuovo…oh nooo!"
SAY.gameLocalization.9.Mysterious voice,,Concerned with the things around yourself?,周りの物で気になるものはあるかい？,Ti preoccupano gli oggetti intorno a te?
SAY.gameLocalization.109.Mysterious voice,,"Try pressing the ""E key"" to know more about it or active some stuff.","""B""ボタンを押して詳しく調べることができるぞ。","Prova a premere il tasto ""E"" per saperne di più o attivare gli oggetti."
SAY.gameLocalization.66.Mysterious voice,,"If you can figure out what an E key is, ahahah.",まぁ、Bボタンってのがなにかわかればいいな（笑）,"Se riesci a capire cosa è il tasto E, ahahah!"
SAY.gameLocalization.65.,,*strange sound*,*奇妙な音*,*suono sinistro*
SAY.gameLocalization.64.Anne,,"Stop it, stop it NOW! Who are you?",やめて、やめてってば！誰なの？,"Fermati, fermati ho detto! Chi sei tu?"
SAY.gameLocalization.63.Mysterious voice,,It's so damn dark in here isn't it?,この部屋めっちゃ暗いな。,È molto buio qui…non è vero?
SAY.gameLocalization.62.Mysterious voice,,"Press the ""spacebar"" to light your little candle. She will be the only thing you can trust now, hopefully she will show you the truth behind everything in this mansion.","""R1""ボタンを押してロウソクを照らしてみてくれ。少し心もとないかもしれないが、真実を見せてくれるだろう。","Premi la barra spaziatrice per accendere la tua piccola candela. Sarà l'unica cosa di cui ti potrai fidare ora, affidati a lei per scoprire la verità dietro questa magione."
SAY.gameLocalization.61.Mysterious voice,,"But after all, she is just a candle, so make sure not to use too much or else you will find yourself alone in the middle of no where... hehe.",だが所詮ロウソクだ、使いすぎたら当然おさらばだ。だから気をつけて使うんだな。,Ma in fin dei conti è solo una candela… stai attenta a non abusarne altrimenti ti ritroverai in mezzo al nulla…hehe.
SAY.gameLocalization.60.,,*strange sound*,*奇妙な音*,*suono sinistro*
SAY.gameLocalization.59.Anne,,"Stop talkng in my head, please i beg you...",もう頭の中に話しかけないで、お願いだから…,"Smettila di parlare nella mia testa, ti prego…"
SAY.gameLocalization.58.Mysterious voice,,Wow that hole is massive! It seems like the only way to go past this is to climb up that bookshelf. ,でっけぇ穴だな！ここを通るには本棚の上を渡るしかなさそうだな。,Wow! Questa voragine è enorme. Sembra che l'unico modo per sorpassarla sia salendo sulla libreria.
SAY.gameLocalization.57.Mysterious voice,,"Try pressing “E Key”, this time in front of that bookshelf.","本棚の前で""B""ボタンを押してみな。","Prova a premere il tasto ""E"" davanti alla libreria."
SAY.gameLocalization.111.Mysterious voice,,"Some bookshelf will let you climb up but some will...Never mind, let`s keep this a surprise, hehe.",本棚によっては登れることがある。まぁ時にはやつらが…　いや、これはサプライズにとっておこう（笑）,"Alcune librerie si lasceranno scalare ma altre… Lasciamo stare, non voglio rovinarti la sorpresa, hehe."
SAY.gameLocalization.56.,,*strange sound*,*奇妙な音*,*suono sinistro*
SAY.gameLocalization.55.Anne,,"The voices, again... oh, no! Stop it, stop it NOW. Who the hell are you?",またこの声…もういい加減にして！誰なのよ…,"Le voci, ancora…oh,no! Lasciami stare, fermati! Chi diavolo sei?"
SAY.gameLocalization.54.Mysterious voice,,"That`s a very cool lantern, indeed! Press the “shift key” to change with the candle.","かっこいいランタンだな！""L1""ボタンを押してロウソクと交換してみようぜ。","Questa è una fantastica lanterna! Premi il tasto ""Shift"" per scambiarla con la candela."
SAY.gameLocalization.53.Mysterious voice,,"You can use it the same way as the candle by pressing the “Space bar” but with this one, you can shine it up and downwards too by pressing the ""W"" and ""S"" key!","ロウソクと同じで、""R1""を押すことで使えるんだが、こいつの場合は""右スティック""で明かりを上下に向けることができるぞ！","La puoi utilizzare nello stesso modo della candela: premi la barra spaziatrice per accenderla. Con la lanterna potrai illuminare anche sopra e sotto di te con i tasti ""W"" e ""S""!"
