Key,Description,Standard,IT,JP,,
SAY.gameLocalization.1.,,*strange sound*,,*奇妙な音*,,
SAY.gameLocalization.4.Anne,,"The voices, again... oh, nooo!",,また、あの声が… やめてぇええ！,,
SAY.gameLocalization.9.Mysterious Voice,,Concerned with the things around yourself?,,周りの物で気になるものはあるかい？,,
SAY.gameLocalization.109.,,"Try pressing the ""B"" button to know more about it or active some stuff.",,"""B""ボタンを押して詳しく調べることができるぞ。",,
SAY.gameLocalization.66.Mysterious Voice,,"If you can figure out what a B button is, ahahah.",,まぁ、Bボタンってのがなにかわかればいいな（笑）,,
SAY.gameLocalization.65.,,*strange sound*,,*奇妙な音*,,
SAY.gameLocalization.64.Anne,,"Stop it, stop it NOW! Who are you?",,やめて、やめてってば！誰なの？,,
SAY.gameLocalization.63.Mysterious Voice,,It's so damn dark in here isn't it?,,この部屋めっちゃ暗いな。,,
SAY.gameLocalization.62.Mysterious Voice,,"Press ""R1"" button to light your little candle. She will be the only thing you can trust now, hopefully she will show you the truth.",,"""R1""ボタンを押してロウソクを照らしてみてくれ。少し心もとないかもしれないが、真実を見せてくれるだろう。",,
SAY.gameLocalization.61.Mysterious Voice,,"But after all, she is just a candle, so make sure not to use too much or else you will find yourself alone in the middle of no where... hehe.",,だが所詮ロウソクだ、使いすぎたら当然おさらばだ。だから気をつけて使うんだな。,,
SAY.gameLocalization.60.,,*strange sound*,,*奇妙な音*,,
SAY.gameLocalization.59.Anne,,"Stop talkng in my head, please I beg you...",,もう頭の中に話しかけないで、お願いだから…,,
SAY.gameLocalization.58.Mysterious Voice,,Wow that hole is massive! It seems like the only way to go past this is to climb up that bookshelf. ,,でっけぇ穴だな！ここを通るには本棚の上を渡るしかなさそうだな。,,
SAY.gameLocalization.57.Mysterious Voice,,"Try pressing “B” button, this time in front of that bookshelf.",,"本棚の前で""B""ボタンを押してみな。",,
SAY.gameLocalization.111.,,"Some bookshelf will let you climb up but some will...Never mind, let`s keep this a surprise, hehe.",,本棚によっては登れることがある。まぁ時にはやつらが…　いや、これはサプライズにとっておこう（笑）,,
SAY.gameLocalization.56.,,*strange sound*,,*奇妙な音*,,
SAY.gameLocalization.55.Anne,,"The voices, again... oh, no! Stop it, stop it NOW. Who the hell are you?",,またこの声…もういい加減にして！誰なのよ…,,
SAY.gameLocalization.54.Mysterious Voice,,"That`s a very cool lantern, indeed! Press the “L1” button to change with the candle.",,"かっこいいランタンだな！""L1""ボタンを押してロウソクと交換してみようぜ。",,
SAY.gameLocalization.53.Mysterious Voice,,"You can use it the same way as the candle by pressing the “R1” but with this one, you can shine it up and downwards too by using the ""right stick""!",,"ロウソクと同じで、""R1""を押すことで使えるんだが、こいつの場合は""右スティック""で明かりを上下に向けることができるぞ！",,
SAY.gameLocalization.112.,,"The latter sounds so much FUN isn`t it! Burn baby, burn!",,こいつを使えば化け物たちも燃やし尽くせるぜ！ぜーんぶ燃やしちまえ！,,
SAY.gameLocalization.52.,,*strange sound*,,*奇妙な音*,,
SAY.gameLocalization.51.Anne,,"Stop it, stop it NOW. Who are you?",,やめて、やめてってば！誰なの？,,
SAY.gameLocalization.50.Mysterious Voice,,"Yay! A checkpoint! Get more excited little girl, if you check this by pressing “B”, you can get new candles and also start from this point when you get overwhelmed by darkness and...",,"おぉ！チェックポイントじゃないか！喜べ嬢ちゃん、""B""ボタンで調べればロウソクを補充できるし、万が一闇に飲まれちまってもまたここから…",,
SAY.gameLocalization.49.Mysterious Voice,,...oopsies.,,おっと…喋りすぎたかな。,,
SAY.gameLocalization.47.Mysterious Voice,,Anyway...,,とにかく…,,
SAY.gameLocalization.46.Mysterious Voice,,...the sound will let you know that you`ve checked it or not so be careful with it.,,…調べたら音がなるから気をつけたほうがいいぜ。,,
SAY.gameLocalization.43.,,Another lever... This time a blue one.,,またレバー…今回は青いの。,,
SAY.gameLocalization.42.,,This time a yellow lever... How many are there?,,今度は黄色？何個あるの？,,
SAY.gameLocalization.41.,,A red lever? I wonder what it did...,,赤い、レバー？なにかおきたのかな…,,
SAY.gameLocalization.73.Anne,,Mom used to lit the fireplace with 3 pieces of wood... ,,ママはいつも３つの薪で暖炉をつけてたはず…,,
SAY.gameLocalization.74.Anne,,I need it lit so I can scare away the cat and get its object…,,早く火をつけてあの子を追い払わないと…,,
,,,,,,
SAY.gameLocalization.77.Anne,,F-found one! ,,い、一個あった！,,
SAY.gameLocalization.84.,,mmm... here says I have to put the right numbers.,,んん…番号を当てればいいのかな？,,
SAY.gameLocalization.326.,,Maybe...,,多分…,,
MENU.gameLocalization.274,,0,,0,,
MENU.gameLocalization.273,,1,,1,,
MENU.gameLocalization.272,,2,,2,,
MENU.gameLocalization.271,,3,,3,,
MENU.gameLocalization.270,,4,,4,,
MENU.gameLocalization.299,,5,,5,,
MENU.gameLocalization.269,,6,,6,,
MENU.gameLocalization.300,,7,,7,,
MENU.gameLocalization.268,,8,,8,,
MENU.gameLocalization.355,,9,,9,,
SAY.gameLocalization.325.Anne,,I... It's just a painting...,,ただの…絵だよね…,,
SAY.gameLocalization.114.,,*strange sound*,,*奇妙な音*,,
SAY.gameLocalization.118.Mysterious Voice,,"Oh, just a reminder, be careful with those flying books...",,あ、忠告なんだが、ここらのそらとぶ本には気をつけろよ…,,
SAY.gameLocalization.120.Anne,,What? Books don`t fly though!,,え？本は飛ばないもん！,,
SAY.gameLocalization.238.Mysterious Voice,,Well you saw those lamps try attacking you right? Don`t   believe with those common sense in this house.,,ランプとかが襲ってきただろ？ここの中では常識なんて捨てちまいな。,,
SAY.gameLocalization.96.,,"Weep, weep, snifle...",,えーん、えーん、グスっ…,,
